item,object,item_type,sent_condition,media_condition,match,similarity,model,dataset
1,handgun,,a,a,match,0.1816092424365815,imagebind,winter2012/e2
2,baby,,a,a,match,0.2822685990971714,imagebind,winter2012/e2
3,blender,,a,a,match,0.011843941861188645,imagebind,winter2012/e2
4,cat,,a,a,match,0.1251075851911312,imagebind,winter2012/e2
5,champagne bottle,,a,a,match,0.022996205388524427,imagebind,winter2012/e2
6,church bells,,a,a,match,0.20772547635017835,imagebind,winter2012/e2
7,cow,,a,a,match,0.26250966067403625,imagebind,winter2012/e2
8,audience,,a,a,match,0.2287791681972613,imagebind,winter2012/e2
9,cuckoo-clock,,a,a,match,0.30316115695470724,imagebind,winter2012/e2
10,rooster,,a,a,match,0.2514521660431095,imagebind,winter2012/e2
11,dog,,a,a,match,0.15866806445417603,imagebind,winter2012/e2
12,power drill,,a,a,match,0.4089894411922341,imagebind,winter2012/e2
13,hammer,,a,a,match,-0.041199050342468846,imagebind,winter2012/e2
14,motorbike,,a,a,match,0.14048403364042628,imagebind,winter2012/e2
15,horse,,a,a,match,0.22224853469196615,imagebind,winter2012/e2
16,jackhammer,,a,a,match,0.12832769144102363,imagebind,winter2012/e2
17,door,,a,a,match,0.19524325165188927,imagebind,winter2012/e2
18,machine gun,,a,a,match,0.24959147866656817,imagebind,winter2012/e2
19,sheep,,a,a,match,0.3957163498576295,imagebind,winter2012/e2
20,frog,,a,a,match,0.12801622436796856,imagebind,winter2012/e2
21,toilet,,a,a,match,0.27832815298074975,imagebind,winter2012/e2
22,waterfall,,a,a,match,0.263478902788035,imagebind,winter2012/e2
23,can of soda,,a,a,match,0.07740671442088354,imagebind,winter2012/e2
24,branches,,a,a,match,0.07258639679291601,imagebind,winter2012/e2
1,handgun,,a,b,mismatch,0.13416888991956988,imagebind,winter2012/e2
2,baby,,a,b,mismatch,0.25452134224270084,imagebind,winter2012/e2
3,blender,,a,b,mismatch,-0.005490060033577215,imagebind,winter2012/e2
4,cat,,a,b,mismatch,0.27295095014681836,imagebind,winter2012/e2
5,champagne bottle,,a,b,mismatch,0.026854954012428323,imagebind,winter2012/e2
6,church bells,,a,b,mismatch,0.20776206917700568,imagebind,winter2012/e2
7,cow,,a,b,mismatch,0.2716592307374007,imagebind,winter2012/e2
8,audience,,a,b,mismatch,0.19387460732693174,imagebind,winter2012/e2
9,cuckoo-clock,,a,b,mismatch,0.09584488564973703,imagebind,winter2012/e2
10,rooster,,a,b,mismatch,0.31463737963994864,imagebind,winter2012/e2
11,dog,,a,b,mismatch,0.26555698087180546,imagebind,winter2012/e2
12,power drill,,a,b,mismatch,0.35376143418758277,imagebind,winter2012/e2
13,hammer,,a,b,mismatch,0.13524323697623553,imagebind,winter2012/e2
14,motorbike,,a,b,mismatch,0.23820089249346332,imagebind,winter2012/e2
15,horse,,a,b,mismatch,0.10529802932668197,imagebind,winter2012/e2
