,sentence,match,probability
0,h,match,0.13467250764369965
1,h,match,0.6599575281143188
2,h,match,0.9616332054138184
3,h,match,0.027740832418203354
4,h,match,0.9978603720664978
5,h,match,0.464743047952652
6,h,match,0.03217967599630356
7,h,match,0.013713655062019825
8,h,match,0.7747138738632202
9,h,match,0.10908769071102142
10,h,match,0.8144047856330872
11,h,match,0.963736355304718
12,h,match,0.8068063855171204
13,h,match,0.985348641872406
14,h,match,0.985348641872406
15,h,match,0.060877732932567596
16,h,match,0.6751524806022644
17,h,match,0.9325270056724548
18,h,match,0.2242564707994461
19,h,match,0.9711366891860962
20,h,match,0.9999498128890991
21,h,match,0.9999498128890991
22,h,match,0.0038208086043596268
23,h,match,0.7105950117111206
24,h,match,0.28249454498291016
25,h,match,0.5373119115829468
26,h,mismatch,0.8653274178504944
27,h,mismatch,0.34004247188568115
28,h,mismatch,0.03836684674024582
29,h,mismatch,0.9722591042518616
30,h,mismatch,0.002139620017260313
31,h,mismatch,0.5352568626403809
32,h,mismatch,0.9678203463554382
33,h,mismatch,0.9862863421440125
34,h,mismatch,0.2252860814332962
35,h,mismatch,0.8909122347831726
36,h,mismatch,0.18559521436691284
37,h,mismatch,0.03626369312405586
38,h,mismatch,0.19319359958171844
39,h,mismatch,0.014651313424110413
40,h,mismatch,0.014651313424110413
41,h,mismatch,0.9391222596168518
42,h,mismatch,0.3248475193977356
43,h,mismatch,0.06747296452522278
44,h,mismatch,0.7757435441017151
45,h,mismatch,0.028863314539194107
46,h,mismatch,5.013927511754446e-05
47,h,mismatch,5.013927511754446e-05
48,h,mismatch,0.9961792230606079
49,h,mismatch,0.28940504789352417
50,h,mismatch,0.7175054550170898
51,h,mismatch,0.46268805861473083
52,v,match,0.08568461984395981
53,v,match,0.4231562912464142
54,v,match,0.8788650035858154
55,v,match,0.17148378491401672
56,v,match,0.9881900548934937
57,v,match,0.4211063086986542
58,v,match,0.011297316290438175
59,v,match,0.29463568329811096
60,v,match,0.5649387240409851
61,v,match,0.3416082262992859
62,v,match,0.27391868829727173
63,v,match,0.9506479501724243
64,v,match,0.7729775905609131
65,v,match,0.31579405069351196
66,v,match,0.31579405069351196
67,v,match,0.05154429376125336
68,v,match,0.6018136143684387
69,v,match,0.7484622001647949
70,v,match,0.17493878304958344
71,v,match,0.6538820862770081
72,v,match,0.9897292852401733
73,v,match,0.9897292852401733
74,v,match,0.005912750028073788
75,v,match,0.761610209941864
76,v,match,0.2806263864040375
77,v,match,0.5144279599189758
78,v,mismatch,0.914315402507782
79,v,mismatch,0.5768436789512634
80,v,mismatch,0.12113500386476517
81,v,mismatch,0.8285161852836609
82,v,mismatch,0.01180998794734478
83,v,mismatch,0.5788936614990234
84,v,mismatch,0.988702654838562
85,v,mismatch,0.7053643465042114
86,v,mismatch,0.4350612163543701
87,v,mismatch,0.6583917737007141
88,v,mismatch,0.7260812520980835
89,v,mismatch,0.04935206472873688
90,v,mismatch,0.22702234983444214
91,v,mismatch,0.6842058897018433
92,v,mismatch,0.6842058897018433
93,v,mismatch,0.9484556913375854
94,v,mismatch,0.3981863260269165
95,v,mismatch,0.2515377998352051
96,v,mismatch,0.8250612616539001
97,v,mismatch,0.34611794352531433
98,v,mismatch,0.010270739905536175
99,v,mismatch,0.010270739905536175
100,v,mismatch,0.9940872192382812
101,v,mismatch,0.23838981986045837
102,v,mismatch,0.7193736433982849
103,v,mismatch,0.48557206988334656
