,index,response,rt,ppt_idx,match,condition_a,condition_b,object,accuracy,list,ppt_id
0,0,2,0.495,1,Match,H,H,Axe,1,1,1_1
1,1,2,0.616,2,Match,H,H,Axe,1,1,1_2
2,2,2,0.866,3,Match,H,H,Axe,1,1,1_3
3,3,2,0.663,4,Match,H,H,Axe,1,1,1_4
4,4,2,0.609,5,Match,H,H,Axe,1,1,1_5
5,5,2,0.7,6,Match,H,H,Axe,1,1,1_6
6,6,2,1.442,7,Match,H,H,Axe,1,1,1_7
7,7,2,0.984,8,Match,H,H,Axe,1,1,1_8
8,8,2,1.192,9,Match,H,H,Axe,1,1,1_9
9,9,2,0.804,10,Match,H,H,Axe,1,1,1_10
10,10,2,1.864,11,Match,H,H,Axe,1,1,1_11
11,11,2,0.457,12,Match,H,H,Axe,1,1,1_12
12,12,2,0.793,13,Match,H,H,Axe,1,1,1_13
13,13,2,0.707,14,Match,H,H,Axe,1,1,1_14
14,14,2,0.707,15,Match,H,H,Axe,1,1,1_15
15,15,2,1.143,16,Match,H,H,Axe,1,1,1_16
16,16,2,0.686,17,Match,H,H,Axe,1,1,1_17
17,17,2,0.833,18,Match,H,H,Axe,1,1,1_18
18,18,2,2.279,19,Match,H,H,Axe,1,1,1_19
19,19,2,0.701,20,Match,H,H,Axe,1,1,1_20
20,20,2,1.396,21,Match,H,H,Axe,1,1,1_21
21,21,2,0.519,22,Match,H,H,Axe,1,1,1_22
22,22,2,0.487,23,Match,H,H,Axe,1,1,1_23
23,23,2,0.796,24,Match,H,H,Axe,1,1,1_24
24,24,2,0.573,25,Match,H,H,Axe,1,1,1_25
25,25,2,0.563,26,Match,H,H,Axe,1,1,1_26
26,26,2,0.556,27,Match,H,H,Axe,1,1,1_27
27,27,2,0.819,28,Match,H,H,Axe,1,1,1_28
28,28,2,1.285,29,Match,H,H,Axe,1,1,1_29
29,29,2,0.46,30,Match,H,H,Axe,1,1,1_30
30,30,2,0.889,31,Match,H,H,Axe,1,1,1_31
31,31,2,0.591,32,Match,H,H,Axe,1,1,1_32
32,32,2,0.582,33,Match,H,H,Axe,1,1,1_33
33,33,2,1.228,34,Match,H,H,Axe,1,1,1_34
34,34,2,1.21,35,Match,H,H,Axe,1,1,1_35
35,35,2,0.818,36,Match,H,H,Axe,1,1,1_36
36,36,2,0.416,37,Match,H,H,Axe,1,1,1_37
37,37,2,1.765,38,Match,H,H,Axe,1,1,1_38
38,38,2,0.473,39,Match,H,H,Axe,1,1,1_39
39,39,2,0.732,40,Match,H,H,Axe,1,1,1_40
40,40,2,0.697,41,Match,H,H,Axe,1,1,1_41
41,0,2,0.817,1,Match,V,V,Caterpillar,1,1,1_1
42,1,2,0.63,2,Match,V,V,Caterpillar,1,1,1_2
43,2,2,1.171,3,Match,V,V,Caterpillar,1,1,1_3
44,3,1,2.401,4,Match,V,V,Caterpillar,0,1,1_4
45,4,2,0.745,5,Match,V,V,Caterpillar,1,1,1_5
46,5,2,1.333,6,Match,V,V,Caterpillar,1,1,1_6
47,6,2,0.873,7,Match,V,V,Caterpillar,1,1,1_7
48,7,2,0.926,8,Match,V,V,Caterpillar,1,1,1_8
49,8,2,1.04,9,Match,V,V,Caterpillar,1,1,1_9
50,9,2,1.596,10,Match,V,V,Caterpillar,1,1,1_10
51,10,2,0.512,11,Match,V,V,Caterpillar,1,1,1_11
52,11,2,1.309,12,Match,V,V,Caterpillar,1,1,1_12
53,12,2,0.975,13,Match,V,V,Caterpillar,1,1,1_13
54,13,2,1.117,14,Match,V,V,Caterpillar,1,1,1_14
55,14,2,0.493,15,Match,V,V,Caterpillar,1,1,1_15
56,15,2,1.127,16,Match,V,V,Caterpillar,1,1,1_16
57,16,2,0.828,17,Match,V,V,Caterpillar,1,1,1_17
58,17,2,0.969,18,Match,V,V,Caterpillar,1,1,1_18
59,18,2,2.076,19,Match,V,V,Caterpillar,1,1,1_19
60,19,2,0.914,20,Match,V,V,Caterpillar,1,1,1_20
61,20,1,2.519,21,Match,V,V,Caterpillar,0,1,1_21
62,21,2,0.622,22,Match,V,V,Caterpillar,1,1,1_22
63,22,2,0.841,23,Match,V,V,Caterpillar,1,1,1_23
64,23,2,1.342,24,Match,V,V,Caterpillar,1,1,1_24
65,24,2,0.675,25,Match,V,V,Caterpillar,1,1,1_25
