,index,response,rt,ppt_idx,accuracy,match,media_condition,sent_condition,item,object,list,ppt_id
32,32,2,0.71,33,1,match,a,a,39,balloon,1,1_33
33,33,2,4.063,34,1,match,a,a,39,balloon,1,1_34
34,34,2,2.667,35,1,match,a,a,39,balloon,1,1_35
35,35,2,1.131,36,1,match,a,a,39,balloon,1,1_36
36,36,2,1.792,37,1,match,a,a,39,balloon,1,1_37
37,37,1, ,38,0,match,a,a,39,balloon,1,1_38
38,38,2,0.977,39,1,match,a,a,39,balloon,1,1_39
39,39,2,0.774,40,1,match,a,a,39,balloon,1,1_40
40,40,2,1.453,41,1,match,a,a,39,balloon,1,1_41
41,41,2,0.846,42,1,match,a,a,39,balloon,1,1_42
42,42,2,0.838,43,1,match,a,a,39,balloon,1,1_43
43,0,2,0.803,1,1,match,a,a,47,book,1,1_1
44,1,2,1.118,2,1,match,a,a,47,book,1,1_2
45,2,2,0.731,3,1,match,a,a,47,book,1,1_3
46,3,2,0.649,4,1,match,a,a,47,book,1,1_4
47,4,2,1.982,5,1,match,a,a,47,book,1,1_5
48,5,2,0.468,6,1,match,a,a,47,book,1,1_6
49,6,2,1.375,7,1,match,a,a,47,book,1,1_7
50,7,2,1.208,8,1,match,a,a,47,book,1,1_8
51,8,2,0.516,9,1,match,a,a,47,book,1,1_9
52,9,2,2.156,10,1,match,a,a,47,book,1,1_10
53,10,2,0.994,11,1,match,a,a,47,book,1,1_11
54,11,2,1.233,12,1,match,a,a,47,book,1,1_12
55,12,2,1.584,13,1,match,a,a,47,book,1,1_13
56,13,2,0.474,14,1,match,a,a,47,book,1,1_14
57,14,2,0.673,15,1,match,a,a,47,book,1,1_15
58,15,2,0.598,16,1,match,a,a,47,book,1,1_16
59,16,2,2.288,17,1,match,a,a,47,book,1,1_17
60,17,2,1.094,18,1,match,a,a,47,book,1,1_18
61,18,2,0.667,19,1,match,a,a,47,book,1,1_19
62,19,2,1.443,20,1,match,a,a,47,book,1,1_20
63,20,2,1.075,21,1,match,a,a,47,book,1,1_21
64,21,2,1.121,22,1,match,a,a,47,book,1,1_22
65,22,2,1.391,23,1,match,a,a,47,book,1,1_23
66,23,2,0.572,24,1,match,a,a,47,book,1,1_24
67,24,2,0.86,25,1,match,a,a,47,book,1,1_25
68,25,2,0.594,26,1,match,a,a,47,book,1,1_26
69,26,2,1.465,27,1,match,a,a,47,book,1,1_27
70,27,2,0.752,28,1,match,a,a,47,book,1,1_28
71,28,2,1.209,29,1,match,a,a,47,book,1,1_29
72,29,2,0.952,30,1,match,a,a,47,book,1,1_30
73,30,2,1.107,31,1,match,a,a,47,book,1,1_31
74,31,2,0.474,32,1,match,a,a,47,book,1,1_32
75,32,2,0.848,33,1,match,a,a,47,book,1,1_33
76,33,2,0.97,34,1,match,a,a,47,book,1,1_34
77,34,2,1.481,35,1,match,a,a,47,book,1,1_35
78,35,2,1.328,36,1,match,a,a,47,book,1,1_36
79,36,2,0.997,37,1,match,a,a,47,book,1,1_37
80,37,2,1.113,38,1,match,a,a,47,book,1,1_38
81,38,2,1.006,39,1,match,a,a,47,book,1,1_39
82,39,2,0.606,40,1,match,a,a,47,book,1,1_40
83,40,2,1.185,41,1,match,a,a,47,book,1,1_41
84,41,2,1.351,42,1,match,a,a,47,book,1,1_42
85,42,2,0.663,43,1,match,a,a,47,book,1,1_43
86,0,2,0.56,1,1,match,a,a,35,airplane,1,1_1
87,1,1, ,2,0,match,a,a,35,airplane,1,1_2
88,2,2,0.617,3,1,match,a,a,35,airplane,1,1_3
89,3,2,0.522,4,1,match,a,a,35,airplane,1,1_4
90,4,2,2.091,5,1,match,a,a,35,airplane,1,1_5
91,5,2,0.467,6,1,match,a,a,35,airplane,1,1_6
92,6,2,1.277,7,1,match,a,a,35,airplane,1,1_7
93,7,2,0.711,8,1,match,a,a,35,airplane,1,1_8
94,8,2,0.954,9,1,match,a,a,35,airplane,1,1_9
95,9,2,1.11,10,1,match,a,a,35,airplane,1,1_10
96,10,2,1.088,11,1,match,a,a,35,airplane,1,1_11
97,11,2,1.86,12,1,match,a,a,35,airplane,1,1_12
98,12,2,1.476,13,1,match,a,a,35,airplane,1,1_13
99,13,2,0.489,14,1,match,a,a,35,airplane,1,1_14
100,14,2,1.137,15,1,match,a,a,35,airplane,1,1_15
101,15,2,1.584,16,1,match,a,a,35,airplane,1,1_16
102,16,2,1.128,17,1,match,a,a,35,airplane,1,1_17
103,17,2,0.478,18,1,match,a,a,35,airplane,1,1_18
104,18,2,0.931,19,1,match,a,a,35,airplane,1,1_19
105,19,2,1.751,20,1,match,a,a,35,airplane,1,1_20
106,20,2,0.808,21,1,match,a,a,35,airplane,1,1_21
107,21,2,7.273,22,1,match,a,a,35,airplane,1,1_22
108,22,2,1.047,23,1,match,a,a,35,airplane,1,1_23
109,23,2,0.522,24,1,match,a,a,35,airplane,1,1_24
110,24,2,1.842,25,1,match,a,a,35,airplane,1,1_25
111,25,2,0.601,26,1,match,a,a,35,airplane,1,1_26
