,index,response,rt,ppt_idx,accuracy,match,media_condition,sent_condition,item,object,list,ppt_id
1083,8,2,0.98,9,1,mismatch,b,a,50,onion,1,1_9
1084,9,1, ,10,0,mismatch,b,a,50,onion,1,1_10
1085,10,2,1.724,11,1,mismatch,b,a,50,onion,1,1_11
1086,11,2,7.004,12,1,mismatch,b,a,50,onion,1,1_12
1087,12,2,1.575,13,1,mismatch,b,a,50,onion,1,1_13
1088,13,2,1.73,14,1,mismatch,b,a,50,onion,1,1_14
1089,14,2,0.567,15,1,mismatch,b,a,50,onion,1,1_15
1090,15,2,2.207,16,1,mismatch,b,a,50,onion,1,1_16
1091,16,2,1.501,17,1,mismatch,b,a,50,onion,1,1_17
1092,17,2,0.971,18,1,mismatch,b,a,50,onion,1,1_18
1093,18,1, ,19,0,mismatch,b,a,50,onion,1,1_19
1094,19,2,3.16,20,1,mismatch,b,a,50,onion,1,1_20
1095,20,2,2.786,21,1,mismatch,b,a,50,onion,1,1_21
1096,21,2,0.69,22,1,mismatch,b,a,50,onion,1,1_22
1097,22,2,9.032,23,1,mismatch,b,a,50,onion,1,1_23
1098,23,2,0.964,24,1,mismatch,b,a,50,onion,1,1_24
1099,24,2,1.507,25,1,mismatch,b,a,50,onion,1,1_25
1100,25,2,1.302,26,1,mismatch,b,a,50,onion,1,1_26
1101,26,2,2.061,27,1,mismatch,b,a,50,onion,1,1_27
1102,27,2,9.911,28,1,mismatch,b,a,50,onion,1,1_28
1103,28,2,2.611,29,1,mismatch,b,a,50,onion,1,1_29
1104,29,2,1.298,30,1,mismatch,b,a,50,onion,1,1_30
1105,30,2,1.111,31,1,mismatch,b,a,50,onion,1,1_31
1106,31,1, ,32,0,mismatch,b,a,50,onion,1,1_32
1107,32,2,1.051,33,1,mismatch,b,a,50,onion,1,1_33
1108,33,2,2.958,34,1,mismatch,b,a,50,onion,1,1_34
1109,34,1, ,35,0,mismatch,b,a,50,onion,1,1_35
1110,35,2,2.416,36,1,mismatch,b,a,50,onion,1,1_36
1111,36,2,1.591,37,1,mismatch,b,a,50,onion,1,1_37
1112,37,2,2.888,38,1,mismatch,b,a,50,onion,1,1_38
1113,38,2,0.935,39,1,mismatch,b,a,50,onion,1,1_39
1114,39,2,1.158,40,1,mismatch,b,a,50,onion,1,1_40
1115,40,2,3.314,41,1,mismatch,b,a,50,onion,1,1_41
1116,41,2,2.316,42,1,mismatch,b,a,50,onion,1,1_42
1117,42,2,2.401,43,1,mismatch,b,a,50,onion,1,1_43
1118,0,2,1.199,1,1,match,b,b,39,balloon,2,2_1
1119,1,2,0.835,2,1,match,b,b,39,balloon,2,2_2
1120,2,2,0.499,3,1,match,b,b,39,balloon,2,2_3
1121,3,2,0.612,4,1,match,b,b,39,balloon,2,2_4
1122,4,2,1.613,5,1,match,b,b,39,balloon,2,2_5
1123,5,2,0.939,6,1,match,b,b,39,balloon,2,2_6
1124,6,2,0.443,7,1,match,b,b,39,balloon,2,2_7
1125,7,2,1.908,8,1,match,b,b,39,balloon,2,2_8
1126,8,2,0.577,9,1,match,b,b,39,balloon,2,2_9
1127,9,2,0.841,10,1,match,b,b,39,balloon,2,2_10
1128,10,2,1.202,11,1,match,b,b,39,balloon,2,2_11
1129,11,2,0.707,12,1,match,b,b,39,balloon,2,2_12
1130,12,2,1.139,13,1,match,b,b,39,balloon,2,2_13
1131,13,2,0.911,14,1,match,b,b,39,balloon,2,2_14
1132,14,2,1.061,15,1,match,b,b,39,balloon,2,2_15
1133,15,2,0.889,16,1,match,b,b,39,balloon,2,2_16
1134,16,2,0.646,17,1,match,b,b,39,balloon,2,2_17
1135,17,2,0.825,18,1,match,b,b,39,balloon,2,2_18
1136,18,2,1.13,19,1,match,b,b,39,balloon,2,2_19
1137,19,2,0.428,20,1,match,b,b,39,balloon,2,2_20
1138,20,2,153.2,21,1,match,b,b,39,balloon,2,2_21
1139,21,2,0.855,22,1,match,b,b,39,balloon,2,2_22
1140,22,2,0.581,23,1,match,b,b,39,balloon,2,2_23
1141,23,2,0.403,24,1,match,b,b,39,balloon,2,2_24
1142,24,2,0.547,25,1,match,b,b,39,balloon,2,2_25
1143,25,2,0.908,26,1,match,b,b,39,balloon,2,2_26
1144,26,2,1.482,27,1,match,b,b,39,balloon,2,2_27
1145,27,2,2.681,28,1,match,b,b,39,balloon,2,2_28
1146,28,2,0.734,29,1,match,b,b,39,balloon,2,2_29
1147,29,2,0.443,30,1,match,b,b,39,balloon,2,2_30
1148,30,2,3.167,31,1,match,b,b,39,balloon,2,2_31
1149,31,2,0.461,32,1,match,b,b,39,balloon,2,2_32
1150,32,2,1,33,1,match,b,b,39,balloon,2,2_33
1151,33,2,0.612,34,1,match,b,b,39,balloon,2,2_34
1152,34,2,1.386,35,1,match,b,b,39,balloon,2,2_35
1153,35,2,0.79,36,1,match,b,b,39,balloon,2,2_36
1154,36,2,0.766,37,1,match,b,b,39,balloon,2,2_37
1155,37,2,0.626,38,1,match,b,b,39,balloon,2,2_38
1156,38,2,0.895,39,1,match,b,b,39,balloon,2,2_39
1157,39,2,0.614,40,1,match,b,b,39,balloon,2,2_40
1158,40,2,1.285,41,1,match,b,b,39,balloon,2,2_41
1159,41,2,0.879,42,1,match,b,b,39,balloon,2,2_42
1160,42,2,0.276,43,1,match,b,b,39,balloon,2,2_43
1161,0,2,0.608,1,1,match,b,b,47,book,2,2_1
1162,1,2,1.181,2,1,match,b,b,47,book,2,2_2
1163,2,2,1.139,3,1,match,b,b,47,book,2,2_3
1164,3,2,0.736,4,1,match,b,b,47,book,2,2_4
1165,4,2,1.36,5,1,match,b,b,47,book,2,2_5
1166,5,2,0.7,6,1,match,b,b,47,book,2,2_6
1167,6,2,1.719,7,1,match,b,b,47,book,2,2_7
1168,7,2,1.295,8,1,match,b,b,47,book,2,2_8
1169,8,2,0.484,9,1,match,b,b,47,book,2,2_9
1170,9,2,0.703,10,1,match,b,b,47,book,2,2_10
1171,10,2,0.904,11,1,match,b,b,47,book,2,2_11
1172,11,2,1.056,12,1,match,b,b,47,book,2,2_12
1173,12,2,0.591,13,1,match,b,b,47,book,2,2_13
1174,13,2,0.652,14,1,match,b,b,47,book,2,2_14
1175,14,2,0.982,15,1,match,b,b,47,book,2,2_15
1176,15,2,0.444,16,1,match,b,b,47,book,2,2_16
1177,16,2,0.674,17,1,match,b,b,47,book,2,2_17
1178,17,2,0.864,18,1,match,b,b,47,book,2,2_18
1179,18,2,0.588,19,1,match,b,b,47,book,2,2_19
1180,19,2,0.608,20,1,match,b,b,47,book,2,2_20
1181,20,2,0.882,21,1,match,b,b,47,book,2,2_21
1182,21,2,0.709,22,1,match,b,b,47,book,2,2_22
1183,22,2,0.535,23,1,match,b,b,47,book,2,2_23
1184,23,2,0.664,24,1,match,b,b,47,book,2,2_24
1185,24,2,0.5,25,1,match,b,b,47,book,2,2_25
1186,25,2,1.045,26,1,match,b,b,47,book,2,2_26
1187,26,2,0.798,27,1,match,b,b,47,book,2,2_27
1188,27,1, ,28,0,match,b,b,47,book,2,2_28
1189,28,2,1.302,29,1,match,b,b,47,book,2,2_29
1190,29,2,1.066,30,1,match,b,b,47,book,2,2_30
1191,30,2,2.106,31,1,match,b,b,47,book,2,2_31
1192,31,2,0.903,32,1,match,b,b,47,book,2,2_32
1193,32,2,2.337,33,1,match,b,b,47,book,2,2_33
1194,33,2,1.091,34,1,match,b,b,47,book,2,2_34
1195,34,2,1.217,35,1,match,b,b,47,book,2,2_35
1196,35,2,1.879,36,1,match,b,b,47,book,2,2_36
1197,36,2,3.328,37,1,match,b,b,47,book,2,2_37
1198,37,2,1.048,38,1,match,b,b,47,book,2,2_38
1199,38,2,1.126,39,1,match,b,b,47,book,2,2_39
1200,39,2,1.86,40,1,match,b,b,47,book,2,2_40
1201,40,2,1.804,41,1,match,b,b,47,book,2,2_41
1202,41,2,1.302,42,1,match,b,b,47,book,2,2_42
1203,42,2,0.626,43,1,match,b,b,47,book,2,2_43
1204,0,2,0.463,1,1,match,b,b,35,airplane,2,2_1
1205,1,1, ,2,0,match,b,b,35,airplane,2,2_2
1206,2,2,0.655,3,1,match,b,b,35,airplane,2,2_3
1207,3,2,0.83,4,1,match,b,b,35,airplane,2,2_4
1208,4,2,1.384,5,1,match,b,b,35,airplane,2,2_5
1209,5,2,0.573,6,1,match,b,b,35,airplane,2,2_6
1210,6,2,0.701,7,1,match,b,b,35,airplane,2,2_7
1211,7,2,1.181,8,1,match,b,b,35,airplane,2,2_8
1212,8,2,0.39,9,1,match,b,b,35,airplane,2,2_9
1213,9,2,0.712,10,1,match,b,b,35,airplane,2,2_10
1214,10,2,0.986,11,1,match,b,b,35,airplane,2,2_11
1215,11,2,0.857,12,1,match,b,b,35,airplane,2,2_12
1216,12,2,0.995,13,1,match,b,b,35,airplane,2,2_13
1217,13,2,0.51,14,1,match,b,b,35,airplane,2,2_14
1218,14,2,2.1,15,1,match,b,b,35,airplane,2,2_15
1219,15,2,0.977,16,1,match,b,b,35,airplane,2,2_16
1220,16,2,0.67,17,1,match,b,b,35,airplane,2,2_17
1221,17,2,0.941,18,1,match,b,b,35,airplane,2,2_18
1222,18,2,0.528,19,1,match,b,b,35,airplane,2,2_19
1223,19,2,0.516,20,1,match,b,b,35,airplane,2,2_20
1224,20,2,0.937,21,1,match,b,b,35,airplane,2,2_21
1225,21,2,0.635,22,1,match,b,b,35,airplane,2,2_22
1226,22,2,0.852,23,1,match,b,b,35,airplane,2,2_23
1227,23,2,0.528,24,1,match,b,b,35,airplane,2,2_24
1228,24,2,0.515,25,1,match,b,b,35,airplane,2,2_25
1229,25,2,0.759,26,1,match,b,b,35,airplane,2,2_26
1230,26,2,0.758,27,1,match,b,b,35,airplane,2,2_27
1231,27,2,2.138,28,1,match,b,b,35,airplane,2,2_28
1232,28,2,1.199,29,1,match,b,b,35,airplane,2,2_29
1233,29,2,1.436,30,1,match,b,b,35,airplane,2,2_30
1234,30,2,0.879,31,1,match,b,b,35,airplane,2,2_31
1235,31,2,0.566,32,1,match,b,b,35,airplane,2,2_32
1236,32,2,0.632,33,1,match,b,b,35,airplane,2,2_33
1237,33,2,0.424,34,1,match,b,b,35,airplane,2,2_34
1238,34,2,0.889,35,1,match,b,b,35,airplane,2,2_35
1239,35,2,1.884,36,1,match,b,b,35,airplane,2,2_36
1240,36,2,0.547,37,1,match,b,b,35,airplane,2,2_37
1241,37,2,0.722,38,1,match,b,b,35,airplane,2,2_38
1242,38,2,0.987,39,1,match,b,b,35,airplane,2,2_39
1243,39,2,0.576,40,1,match,b,b,35,airplane,2,2_40
1244,40,2,1.359,41,1,match,b,b,35,airplane,2,2_41
1245,41,2,0.947,42,1,match,b,b,35,airplane,2,2_42
1246,42,2,1.259,43,1,match,b,b,35,airplane,2,2_43
1247,0,2,0.807,1,1,match,b,b,53,apple,2,2_1
1248,1,2,0.762,2,1,match,b,b,53,apple,2,2_2
1249,2,2,0.577,3,1,match,b,b,53,apple,2,2_3
1250,3,2,1.155,4,1,match,b,b,53,apple,2,2_4
1251,4,2,1.246,5,1,match,b,b,53,apple,2,2_5
1252,5,2,0.814,6,1,match,b,b,53,apple,2,2_6
1253,6,2,1.484,7,1,match,b,b,53,apple,2,2_7
1254,7,2,1.292,8,1,match,b,b,53,apple,2,2_8
1255,8,2,0.655,9,1,match,b,b,53,apple,2,2_9
1256,9,2,0.72,10,1,match,b,b,53,apple,2,2_10
1257,10,2,1.088,11,1,match,b,b,53,apple,2,2_11
1258,11,2,1.09,12,1,match,b,b,53,apple,2,2_12
1259,12,2,1.14,13,1,match,b,b,53,apple,2,2_13
1260,13,2,0.675,14,1,match,b,b,53,apple,2,2_14
1261,14,2,0.762,15,1,match,b,b,53,apple,2,2_15
1262,15,2,0.885,16,1,match,b,b,53,apple,2,2_16
1263,16,2,1.47,17,1,match,b,b,53,apple,2,2_17
1264,17,2,1.033,18,1,match,b,b,53,apple,2,2_18
1265,18,2,0.653,19,1,match,b,b,53,apple,2,2_19
1266,19,2,0.815,20,1,match,b,b,53,apple,2,2_20
1267,20,2,1.456,21,1,match,b,b,53,apple,2,2_21
1268,21,2,1.029,22,1,match,b,b,53,apple,2,2_22
1269,22,2,0.843,23,1,match,b,b,53,apple,2,2_23
1270,23,2,0.802,24,1,match,b,b,53,apple,2,2_24
1271,24,2,0.484,25,1,match,b,b,53,apple,2,2_25
1272,25,2,1.675,26,1,match,b,b,53,apple,2,2_26
1273,26,2,0.922,27,1,match,b,b,53,apple,2,2_27
1274,27,2,1.693,28,1,match,b,b,53,apple,2,2_28
1275,28,2,1.349,29,1,match,b,b,53,apple,2,2_29
1276,29,2,0.899,30,1,match,b,b,53,apple,2,2_30
1277,30,2,2.774,31,1,match,b,b,53,apple,2,2_31
1278,31,2,1.174,32,1,match,b,b,53,apple,2,2_32
1279,32,2,0.918,33,1,match,b,b,53,apple,2,2_33
1280,33,2,0.602,34,1,match,b,b,53,apple,2,2_34
1281,34,2,1.023,35,1,match,b,b,53,apple,2,2_35
1282,35,2,1.394,36,1,match,b,b,53,apple,2,2_36
1283,36,2,1.047,37,1,match,b,b,53,apple,2,2_37
1284,37,2,1.624,38,1,match,b,b,53,apple,2,2_38
1285,38,2,0.739,39,1,match,b,b,53,apple,2,2_39
1286,39,2,0.504,40,1,match,b,b,53,apple,2,2_40
1287,40,2,1.907,41,1,match,b,b,53,apple,2,2_41
1288,41,1, ,42,0,match,b,b,53,apple,2,2_42
1289,42,2,3.508,43,1,match,b,b,53,apple,2,2_43
1290,0,2,0.707,1,1,match,b,b,40,bread,2,2_1
1291,1,2,1.064,2,1,match,b,b,40,bread,2,2_2
1292,2,2,1.405,3,1,match,b,b,40,bread,2,2_3
1293,3,2,0.665,4,1,match,b,b,40,bread,2,2_4
1294,4,2,1.428,5,1,match,b,b,40,bread,2,2_5
1295,5,2,0.567,6,1,match,b,b,40,bread,2,2_6
1296,6,2,0.733,7,1,match,b,b,40,bread,2,2_7
1297,7,2,1.107,8,1,match,b,b,40,bread,2,2_8
1298,8,2,0.515,9,1,match,b,b,40,bread,2,2_9
1299,9,2,3.419,10,1,match,b,b,40,bread,2,2_10
1300,10,2,0.673,11,1,match,b,b,40,bread,2,2_11
1301,11,2,1.224,12,1,match,b,b,40,bread,2,2_12
1302,12,2,0.701,13,1,match,b,b,40,bread,2,2_13
1303,13,2,0.793,14,1,match,b,b,40,bread,2,2_14
1304,14,2,0.777,15,1,match,b,b,40,bread,2,2_15
1305,15,2,0.789,16,1,match,b,b,40,bread,2,2_16
1306,16,2,0.689,17,1,match,b,b,40,bread,2,2_17
1307,17,2,1.049,18,1,match,b,b,40,bread,2,2_18
1308,18,2,0.944,19,1,match,b,b,40,bread,2,2_19
1309,19,2,0.687,20,1,match,b,b,40,bread,2,2_20
1310,20,2,0.698,21,1,match,b,b,40,bread,2,2_21
1311,21,2,0.91,22,1,match,b,b,40,bread,2,2_22
1312,22,2,0.792,23,1,match,b,b,40,bread,2,2_23
1313,23,2,0.749,24,1,match,b,b,40,bread,2,2_24
1314,24,2,0.407,25,1,match,b,b,40,bread,2,2_25
1315,25,2,0.982,26,1,match,b,b,40,bread,2,2_26
1316,26,2,1.024,27,1,match,b,b,40,bread,2,2_27
1317,27,2,4.811,28,1,match,b,b,40,bread,2,2_28
1318,28,2,0.835,29,1,match,b,b,40,bread,2,2_29
1319,29,2,0.549,30,1,match,b,b,40,bread,2,2_30
1320,30,2,1.252,31,1,match,b,b,40,bread,2,2_31
1321,31,2,1.105,32,1,match,b,b,40,bread,2,2_32
1322,32,2,0.544,33,1,match,b,b,40,bread,2,2_33
1323,33,2,0.404,34,1,match,b,b,40,bread,2,2_34
1324,34,2,0.968,35,1,match,b,b,40,bread,2,2_35
1325,35,2,1.462,36,1,match,b,b,40,bread,2,2_36
1326,36,2,0.547,37,1,match,b,b,40,bread,2,2_37
1327,37,2,0.837,38,1,match,b,b,40,bread,2,2_38
1328,38,2,1.02,39,1,match,b,b,40,bread,2,2_39
1329,39,2,0.445,40,1,match,b,b,40,bread,2,2_40
1330,40,2,0.937,41,1,match,b,b,40,bread,2,2_41
1331,41,2,1.101,42,1,match,b,b,40,bread,2,2_42
1332,42,2,0.501,43,1,match,b,b,40,bread,2,2_43
1333,0,2,1.058,1,1,match,a,a,36,chicken,2,2_1
1334,1,2,1.127,2,1,match,a,a,36,chicken,2,2_2
1335,2,2,0.937,3,1,match,a,a,36,chicken,2,2_3
1336,3,2,0.641,4,1,match,a,a,36,chicken,2,2_4
1337,4,2,1.707,5,1,match,a,a,36,chicken,2,2_5
1338,5,1, ,6,0,match,a,a,36,chicken,2,2_6
1339,6,2,0.89,7,1,match,a,a,36,chicken,2,2_7
1340,7,2,1.04,8,1,match,a,a,36,chicken,2,2_8
1341,8,2,0.452,9,1,match,a,a,36,chicken,2,2_9
1342,9,2,0.7,10,1,match,a,a,36,chicken,2,2_10
1343,10,2,1.69,11,1,match,a,a,36,chicken,2,2_11
1344,11,2,0.941,12,1,match,a,a,36,chicken,2,2_12
1345,12,2,0.632,13,1,match,a,a,36,chicken,2,2_13
1346,13,2,0.604,14,1,match,a,a,36,chicken,2,2_14
1347,14,2,0.944,15,1,match,a,a,36,chicken,2,2_15
1348,15,2,0.904,16,1,match,a,a,36,chicken,2,2_16
1349,16,2,0.679,17,1,match,a,a,36,chicken,2,2_17
1350,17,2,0.717,18,1,match,a,a,36,chicken,2,2_18
1351,18,2,0.849,19,1,match,a,a,36,chicken,2,2_19
1352,19,2,0.684,20,1,match,a,a,36,chicken,2,2_20
1353,20,2,1.166,21,1,match,a,a,36,chicken,2,2_21
1354,21,2,0.737,22,1,match,a,a,36,chicken,2,2_22
1355,22,2,0.672,23,1,match,a,a,36,chicken,2,2_23
1356,23,2,0.735,24,1,match,a,a,36,chicken,2,2_24
1357,24,2,0.843,25,1,match,a,a,36,chicken,2,2_25
1358,25,2,0.567,26,1,match,a,a,36,chicken,2,2_26
1359,26,2,0.873,27,1,match,a,a,36,chicken,2,2_27
1360,27,2,1.771,28,1,match,a,a,36,chicken,2,2_28
1361,28,2,0.848,29,1,match,a,a,36,chicken,2,2_29
1362,29,2,0.581,30,1,match,a,a,36,chicken,2,2_30
1363,30,2,0.946,31,1,match,a,a,36,chicken,2,2_31
1364,31,2,0.883,32,1,match,a,a,36,chicken,2,2_32
1365,32,2,0.753,33,1,match,a,a,36,chicken,2,2_33
1366,33,2,0.968,34,1,match,a,a,36,chicken,2,2_34
1367,34,2,1.008,35,1,match,a,a,36,chicken,2,2_35
1368,35,2,1.265,36,1,match,a,a,36,chicken,2,2_36
1369,36,2,0.672,37,1,match,a,a,36,chicken,2,2_37
1370,37,2,0.643,38,1,match,a,a,36,chicken,2,2_38
1371,38,2,0.678,39,1,match,a,a,36,chicken,2,2_39
1372,39,2,0.825,40,1,match,a,a,36,chicken,2,2_40
1373,40,2,1.349,41,1,match,a,a,36,chicken,2,2_41
1374,41,2,2.153,42,1,match,a,a,36,chicken,2,2_42
1375,42,2,0.402,43,1,match,a,a,36,chicken,2,2_43
1376,0,2,1.054,1,1,match,b,b,54,cig,2,2_1
1377,1,2,1.147,2,1,match,b,b,54,cig,2,2_2
1378,2,2,1.031,3,1,match,b,b,54,cig,2,2_3
1379,3,2,1.141,4,1,match,b,b,54,cig,2,2_4
1380,4,2,1.609,5,1,match,b,b,54,cig,2,2_5
1381,5,2,1.153,6,1,match,b,b,54,cig,2,2_6
1382,6,2,1.081,7,1,match,b,b,54,cig,2,2_7
1383,7,2,1.597,8,1,match,b,b,54,cig,2,2_8
1384,8,2,0.92,9,1,match,b,b,54,cig,2,2_9
1385,9,2,0.765,10,1,match,b,b,54,cig,2,2_10
1386,10,2,1.44,11,1,match,b,b,54,cig,2,2_11
1387,11,2,1.364,12,1,match,b,b,54,cig,2,2_12
1388,12,2,0.884,13,1,match,b,b,54,cig,2,2_13
1389,13,2,0.578,14,1,match,b,b,54,cig,2,2_14
1390,14,2,1.214,15,1,match,b,b,54,cig,2,2_15
1391,15,2,2.688,16,1,match,b,b,54,cig,2,2_16
1392,16,2,1.496,17,1,match,b,b,54,cig,2,2_17
1393,17,2,1.295,18,1,match,b,b,54,cig,2,2_18
1394,18,2,1.076,19,1,match,b,b,54,cig,2,2_19
1395,19,2,0.703,20,1,match,b,b,54,cig,2,2_20
1396,20,2,0.896,21,1,match,b,b,54,cig,2,2_21
1397,21,2,1.095,22,1,match,b,b,54,cig,2,2_22
1398,22,2,0.931,23,1,match,b,b,54,cig,2,2_23
1399,23,2,0.625,24,1,match,b,b,54,cig,2,2_24
1400,24,2,1.406,25,1,match,b,b,54,cig,2,2_25
1401,25,2,0.973,26,1,match,b,b,54,cig,2,2_26
1402,26,2,1.248,27,1,match,b,b,54,cig,2,2_27
1403,27,2,2,28,1,match,b,b,54,cig,2,2_28
1404,28,2,1.342,29,1,match,b,b,54,cig,2,2_29
1405,29,2,0.597,30,1,match,b,b,54,cig,2,2_30
1406,30,2,1.076,31,1,match,b,b,54,cig,2,2_31
1407,31,2,1.175,32,1,match,b,b,54,cig,2,2_32
1408,32,2,0.897,33,1,match,b,b,54,cig,2,2_33
1409,33,2,0.742,34,1,match,b,b,54,cig,2,2_34
1410,34,2,0.625,35,1,match,b,b,54,cig,2,2_35
1411,35,2,3.228,36,1,match,b,b,54,cig,2,2_36
1412,36,2,2.922,37,1,match,b,b,54,cig,2,2_37
1413,37,2,1.371,38,1,match,b,b,54,cig,2,2_38
1414,38,2,1.177,39,1,match,b,b,54,cig,2,2_39
1415,39,2,0.605,40,1,match,b,b,54,cig,2,2_40
1416,40,2,2.492,41,1,match,b,b,54,cig,2,2_41
1417,41,2,1.204,42,1,match,b,b,54,cig,2,2_42
1418,42,2,0.94,43,1,match,b,b,54,cig,2,2_43
1419,0,1, ,1,0,match,b,b,48,fish,2,2_1
1420,1,2,1.152,2,1,match,b,b,48,fish,2,2_2
1421,2,2,1.327,3,1,match,b,b,48,fish,2,2_3
1422,3,2,1.124,4,1,match,b,b,48,fish,2,2_4
1423,4,1, ,5,0,match,b,b,48,fish,2,2_5
1424,5,2,0.87,6,1,match,b,b,48,fish,2,2_6
1425,6,2,0.613,7,1,match,b,b,48,fish,2,2_7
1426,7,2,1.449,8,1,match,b,b,48,fish,2,2_8
1427,8,2,0.655,9,1,match,b,b,48,fish,2,2_9
1428,9,2,0.682,10,1,match,b,b,48,fish,2,2_10
1429,10,2,6.443,11,1,match,b,b,48,fish,2,2_11
1430,11,2,0.859,12,1,match,b,b,48,fish,2,2_12
1431,12,2,1.172,13,1,match,b,b,48,fish,2,2_13
1432,13,2,1.027,14,1,match,b,b,48,fish,2,2_14
1433,14,2,1.067,15,1,match,b,b,48,fish,2,2_15
1434,15,2,1.402,16,1,match,b,b,48,fish,2,2_16
1435,16,2,0.8,17,1,match,b,b,48,fish,2,2_17
1436,17,2,1.553,18,1,match,b,b,48,fish,2,2_18
1437,18,2,0.711,19,1,match,b,b,48,fish,2,2_19
1438,19,2,0.898,20,1,match,b,b,48,fish,2,2_20
1439,20,2,1.386,21,1,match,b,b,48,fish,2,2_21
1440,21,2,1.144,22,1,match,b,b,48,fish,2,2_22
1441,22,2,1.083,23,1,match,b,b,48,fish,2,2_23
1442,23,2,2.54,24,1,match,b,b,48,fish,2,2_24
1443,24,2,0.922,25,1,match,b,b,48,fish,2,2_25
1444,25,2,1.572,26,1,match,b,b,48,fish,2,2_26
1445,26,2,1.21,27,1,match,b,b,48,fish,2,2_27
1446,27,1, ,28,0,match,b,b,48,fish,2,2_28
1447,28,2,1.395,29,1,match,b,b,48,fish,2,2_29
1448,29,2,0.765,30,1,match,b,b,48,fish,2,2_30
1449,30,2,1.206,31,1,match,b,b,48,fish,2,2_31
1450,31,2,0.844,32,1,match,b,b,48,fish,2,2_32
1451,32,2,0.83,33,1,match,b,b,48,fish,2,2_33
1452,33,2,1.239,34,1,match,b,b,48,fish,2,2_34
1453,34,2,1.388,35,1,match,b,b,48,fish,2,2_35
1454,35,1, ,36,0,match,b,b,48,fish,2,2_36
1455,36,2,2.125,37,1,match,b,b,48,fish,2,2_37
1456,37,2,1.433,38,1,match,b,b,48,fish,2,2_38
1457,38,2,0.788,39,1,match,b,b,48,fish,2,2_39
1458,39,2,1.252,40,1,match,b,b,48,fish,2,2_40
1459,40,2,1.894,41,1,match,b,b,48,fish,2,2_41
1460,41,2,1.495,42,1,match,b,b,48,fish,2,2_42
1461,42,2,1.455,43,1,match,b,b,48,fish,2,2_43
1462,0,2,1.075,1,1,match,b,b,37,hockey,2,2_1
1463,1,2,1.049,2,1,match,b,b,37,hockey,2,2_2
1464,2,2,0.671,3,1,match,b,b,37,hockey,2,2_3
1465,3,2,0.562,4,1,match,b,b,37,hockey,2,2_4
1466,4,2,0.931,5,1,match,b,b,37,hockey,2,2_5
1467,5,2,0.979,6,1,match,b,b,37,hockey,2,2_6
1468,6,2,0.908,7,1,match,b,b,37,hockey,2,2_7
1469,7,2,1.605,8,1,match,b,b,37,hockey,2,2_8
1470,8,2,0.999,9,1,match,b,b,37,hockey,2,2_9
1471,9,2,0.904,10,1,match,b,b,37,hockey,2,2_10
1472,10,2,1.231,11,1,match,b,b,37,hockey,2,2_11
1473,11,2,0.913,12,1,match,b,b,37,hockey,2,2_12
1474,12,2,1.681,13,1,match,b,b,37,hockey,2,2_13
1475,13,2,0.641,14,1,match,b,b,37,hockey,2,2_14
1476,14,2,1.208,15,1,match,b,b,37,hockey,2,2_15
1477,15,1, ,16,0,match,b,b,37,hockey,2,2_16
1478,16,2,0.697,17,1,match,b,b,37,hockey,2,2_17
1479,17,2,1.059,18,1,match,b,b,37,hockey,2,2_18
1480,18,2,0.574,19,1,match,b,b,37,hockey,2,2_19
1481,19,2,0.836,20,1,match,b,b,37,hockey,2,2_20
1482,20,2,0.613,21,1,match,b,b,37,hockey,2,2_21
1483,21,2,1.183,22,1,match,b,b,37,hockey,2,2_22
1484,22,2,0.874,23,1,match,b,b,37,hockey,2,2_23
1485,23,2,0.754,24,1,match,b,b,37,hockey,2,2_24
1486,24,2,0.625,25,1,match,b,b,37,hockey,2,2_25
1487,25,2,0.896,26,1,match,b,b,37,hockey,2,2_26
1488,26,2,0.686,27,1,match,b,b,37,hockey,2,2_27
1489,27,2,1.624,28,1,match,b,b,37,hockey,2,2_28
1490,28,2,1.379,29,1,match,b,b,37,hockey,2,2_29
1491,29,2,0.802,30,1,match,b,b,37,hockey,2,2_30
1492,30,2,0.655,31,1,match,b,b,37,hockey,2,2_31
1493,31,2,1.484,32,1,match,b,b,37,hockey,2,2_32
1494,32,2,1.207,33,1,match,b,b,37,hockey,2,2_33
1495,33,2,0.542,34,1,match,b,b,37,hockey,2,2_34
1496,34,2,1.683,35,1,match,b,b,37,hockey,2,2_35
1497,35,2,1.618,36,1,match,b,b,37,hockey,2,2_36
1498,36,2,0.718,37,1,match,b,b,37,hockey,2,2_37
1499,37,2,0.903,38,1,match,b,b,37,hockey,2,2_38
1500,38,2,1.051,39,1,match,b,b,37,hockey,2,2_39
1501,39,2,0.531,40,1,match,b,b,37,hockey,2,2_40
1502,40,2,1.446,41,1,match,b,b,37,hockey,2,2_41
1503,41,2,0.557,42,1,match,b,b,37,hockey,2,2_42
1504,42,2,1.15,43,1,match,b,b,37,hockey,2,2_43
1505,0,2,0.884,1,1,match,a,a,56,eagle,2,2_1
1506,1,2,0.968,2,1,match,a,a,56,eagle,2,2_2
1507,2,2,0.5,3,1,match,a,a,56,eagle,2,2_3
1508,3,2,1.015,4,1,match,a,a,56,eagle,2,2_4
1509,4,2,4.836,5,1,match,a,a,56,eagle,2,2_5
1510,5,2,1.25,6,1,match,a,a,56,eagle,2,2_6
1511,6,2,0.573,7,1,match,a,a,56,eagle,2,2_7
