,index,response,rt,ppt_idx,match,condition_a,object,accuracy,list,ppt_id
1053,41,2,0.897,42,Mismatch,alive,lobster,1,1,1_42
1054,42,2,0.591,43,Mismatch,alive,lobster,1,1,1_43
1055,43,2,1.262,44,Mismatch,alive,lobster,1,1,1_44
1056,0,2,2.016,1,Match,canonical,balloon,1,2,2_1
1057,1,2,1.296,2,Match,canonical,balloon,1,2,2_2
1058,2,2,0.773,3,Match,canonical,balloon,1,2,2_3
1059,3,2,2.428,4,Match,canonical,balloon,1,2,2_4
1060,4,2,0.879,5,Match,canonical,balloon,1,2,2_5
1061,5,2,1.209,6,Match,canonical,balloon,1,2,2_6
1062,6,2,0.947,7,Match,canonical,balloon,1,2,2_7
1063,7,2,0.755,8,Match,canonical,balloon,1,2,2_8
1064,8,2,0.649,9,Match,canonical,balloon,1,2,2_9
1065,9,2,0.623,10,Match,canonical,balloon,1,2,2_10
1066,10,2,1.461,11,Match,canonical,balloon,1,2,2_11
1067,11,2,0.873,12,Match,canonical,balloon,1,2,2_12
1068,12,2,0.745,13,Match,canonical,balloon,1,2,2_13
1069,13,2,0.715,14,Match,canonical,balloon,1,2,2_14
1070,14,2,1.068,15,Match,canonical,balloon,1,2,2_15
1071,15,2,0.807,16,Match,canonical,balloon,1,2,2_16
1072,16,2,1.048,17,Match,canonical,balloon,1,2,2_17
1073,17,2,0.835,18,Match,canonical,balloon,1,2,2_18
1074,18,2,0.758,19,Match,canonical,balloon,1,2,2_19
1075,19,2,2.007,20,Match,canonical,balloon,1,2,2_20
1076,20,2,0.848,21,Match,canonical,balloon,1,2,2_21
1077,21,2,0.578,22,Match,canonical,balloon,1,2,2_22
1078,22,2,0.727,23,Match,canonical,balloon,1,2,2_23
1079,23,2,0.422,24,Match,canonical,balloon,1,2,2_24
1080,24,2,0.843,25,Match,canonical,balloon,1,2,2_25
1081,25,2,0.921,26,Match,canonical,balloon,1,2,2_26
1082,26,2,1.296,27,Match,canonical,balloon,1,2,2_27
1083,27,1, ,28,Match,canonical,balloon,0,2,2_28
1084,28,2,1.815,29,Match,canonical,balloon,1,2,2_29
1085,29,2,2.097,30,Match,canonical,balloon,1,2,2_30
1086,30,2,0.593,31,Match,canonical,balloon,1,2,2_31
1087,31,2,0.887,32,Match,canonical,balloon,1,2,2_32
1088,32,2,0.753,33,Match,canonical,balloon,1,2,2_33
1089,33,2,1.811,34,Match,canonical,balloon,1,2,2_34
1090,34,2,0.885,35,Match,canonical,balloon,1,2,2_35
1091,35,2,1.454,36,Match,canonical,balloon,1,2,2_36
1092,36,2,1.358,37,Match,canonical,balloon,1,2,2_37
1093,37,2,0.676,38,Match,canonical,balloon,1,2,2_38
1094,38,2,0.68,39,Match,canonical,balloon,1,2,2_39
1095,39,2,0.771,40,Match,canonical,balloon,1,2,2_40
1096,40,2,0.779,41,Match,canonical,balloon,1,2,2_41
1097,41,2,1.323,42,Match,canonical,balloon,1,2,2_42
1098,42,2,2.77,43,Match,canonical,balloon,1,2,2_43
1099,43,2,0.79,44,Match,canonical,balloon,1,2,2_44
1100,0,2,1.463,1,Match,flying,bat,1,2,2_1
1101,1,2,2.031,2,Match,flying,bat,1,2,2_2
1102,2,2,0.73,3,Match,flying,bat,1,2,2_3
1103,3,2,0.942,4,Match,flying,bat,1,2,2_4
1104,4,2,1.992,5,Match,flying,bat,1,2,2_5
1105,5,2,0.837,6,Match,flying,bat,1,2,2_6
1106,6,2,1.096,7,Match,flying,bat,1,2,2_7
1107,7,2,0.61,8,Match,flying,bat,1,2,2_8
1108,8,2,0.75,9,Match,flying,bat,1,2,2_9
1109,9,2,1.37,10,Match,flying,bat,1,2,2_10
1110,10,2,1.476,11,Match,flying,bat,1,2,2_11
1111,11,2,0.906,12,Match,flying,bat,1,2,2_12
1112,12,2,0.587,13,Match,flying,bat,1,2,2_13
1113,13,2,0.691,14,Match,flying,bat,1,2,2_14
1114,14,2,1.115,15,Match,flying,bat,1,2,2_15
1115,15,2,0.587,16,Match,flying,bat,1,2,2_16
1116,16,2,0.685,17,Match,flying,bat,1,2,2_17
1117,17,2,0.761,18,Match,flying,bat,1,2,2_18
1118,18,2,1.042,19,Match,flying,bat,1,2,2_19
1119,19,2,2.213,20,Match,flying,bat,1,2,2_20
1120,20,2,7.028,21,Match,flying,bat,1,2,2_21
1121,21,2,0.889,22,Match,flying,bat,1,2,2_22
1122,22,2,1.042,23,Match,flying,bat,1,2,2_23
1123,23,2,0.468,24,Match,flying,bat,1,2,2_24
1124,24,2,1.473,25,Match,flying,bat,1,2,2_25
1125,25,2,0.498,26,Match,flying,bat,1,2,2_26
1126,26,2,1.321,27,Match,flying,bat,1,2,2_27
1127,27,2,1.28,28,Match,flying,bat,1,2,2_28
1128,28,2,0.775,29,Match,flying,bat,1,2,2_29
1129,29,2,1.255,30,Match,flying,bat,1,2,2_30
1130,30,2,0.842,31,Match,flying,bat,1,2,2_31
1131,31,2,1.461,32,Match,flying,bat,1,2,2_32
1132,32,2,0.516,33,Match,flying,bat,1,2,2_33
1133,33,2,2.579,34,Match,flying,bat,1,2,2_34
1134,34,2,0.351,35,Match,flying,bat,1,2,2_35
1135,35,2,0.931,36,Match,flying,bat,1,2,2_36
1136,36,2,1.235,37,Match,flying,bat,1,2,2_37
1137,37,2,0.587,38,Match,flying,bat,1,2,2_38
1138,38,2,0.631,39,Match,flying,bat,1,2,2_39
1139,39,2,0.631,40,Match,flying,bat,1,2,2_40
1140,40,2,0.598,41,Match,flying,bat,1,2,2_41
1141,41,2,1.021,42,Match,flying,bat,1,2,2_42
1142,42,2,1.545,43,Match,flying,bat,1,2,2_43
1143,43,2,1.394,44,Match,flying,bat,1,2,2_44
1144,0,2,1.243,1,Match,open,book,1,2,2_1
1145,1,2,0.856,2,Match,open,book,1,2,2_2
1146,2,2,0.888,3,Match,open,book,1,2,2_3
1147,3,2,1.414,4,Match,open,book,1,2,2_4
1148,4,2,1.774,5,Match,open,book,1,2,2_5
1149,5,2,1.199,6,Match,open,book,1,2,2_6
1150,6,2,0.776,7,Match,open,book,1,2,2_7
1151,7,2,1.203,8,Match,open,book,1,2,2_8
1152,8,2,0.567,9,Match,open,book,1,2,2_9
1153,9,2,0.518,10,Match,open,book,1,2,2_10
1154,10,2,1.107,11,Match,open,book,1,2,2_11
1155,11,2,1.006,12,Match,open,book,1,2,2_12
1156,12,2,1.425,13,Match,open,book,1,2,2_13
1157,13,2,1.309,14,Match,open,book,1,2,2_14
1158,14,2,0.941,15,Match,open,book,1,2,2_15
1159,15,2,1.524,16,Match,open,book,1,2,2_16
1160,16,2,1.2,17,Match,open,book,1,2,2_17
1161,17,2,0.746,18,Match,open,book,1,2,2_18
1162,18,2,0.768,19,Match,open,book,1,2,2_19
1163,19,2,2.65,20,Match,open,book,1,2,2_20
1164,20,2,1.039,21,Match,open,book,1,2,2_21
1165,21,2,1.035,22,Match,open,book,1,2,2_22
1166,22,2,0.653,23,Match,open,book,1,2,2_23
1167,23,2,0.451,24,Match,open,book,1,2,2_24
1168,24,2,1.315,25,Match,open,book,1,2,2_25
1169,25,2,1.267,26,Match,open,book,1,2,2_26
1170,26,2,1.207,27,Match,open,book,1,2,2_27
1171,27,2,2.153,28,Match,open,book,1,2,2_28
1172,28,2,3.647,29,Match,open,book,1,2,2_29
1173,29,2,0.739,30,Match,open,book,1,2,2_30
1174,30,2,0.749,31,Match,open,book,1,2,2_31
1175,31,2,0.975,32,Match,open,book,1,2,2_32
1176,32,2,0.592,33,Match,open,book,1,2,2_33
1177,33,2,2.74,34,Match,open,book,1,2,2_34
1178,34,2,0.733,35,Match,open,book,1,2,2_35
1179,35,2,0.57,36,Match,open,book,1,2,2_36
1180,36,2,2.263,37,Match,open,book,1,2,2_37
1181,37,2,0.827,38,Match,open,book,1,2,2_38
1182,38,2,0.501,39,Match,open,book,1,2,2_39
1183,39,2,1.034,40,Match,open,book,1,2,2_40
1184,40,2,2.107,41,Match,open,book,1,2,2_41
1185,41,2,1.916,42,Match,open,book,1,2,2_42
1186,42,2,2.927,43,Match,open,book,1,2,2_43
1187,43,2,1.264,44,Match,open,book,1,2,2_44
1188,0,2,0.808,1,Match,sky,airplane,1,2,2_1
1189,1,2,1.107,2,Match,sky,airplane,1,2,2_2
1190,2,2,1.029,3,Match,sky,airplane,1,2,2_3
1191,3,2,2.846,4,Match,sky,airplane,1,2,2_4
1192,4,2,0.815,5,Match,sky,airplane,1,2,2_5
1193,5,2,0.916,6,Match,sky,airplane,1,2,2_6
1194,6,2,1.345,7,Match,sky,airplane,1,2,2_7
1195,7,2,1.098,8,Match,sky,airplane,1,2,2_8
1196,8,2,0.719,9,Match,sky,airplane,1,2,2_9
1197,9,2,0.533,10,Match,sky,airplane,1,2,2_10
1198,10,2,1.51,11,Match,sky,airplane,1,2,2_11
1199,11,2,1.476,12,Match,sky,airplane,1,2,2_12
1200,12,2,0.821,13,Match,sky,airplane,1,2,2_13
1201,13,2,0.709,14,Match,sky,airplane,1,2,2_14
1202,14,2,0.906,15,Match,sky,airplane,1,2,2_15
1203,15,2,0.991,16,Match,sky,airplane,1,2,2_16
1204,16,2,1.139,17,Match,sky,airplane,1,2,2_17
1205,17,2,1.631,18,Match,sky,airplane,1,2,2_18
1206,18,2,0.96,19,Match,sky,airplane,1,2,2_19
1207,19,2,1.908,20,Match,sky,airplane,1,2,2_20
1208,20,2,1.249,21,Match,sky,airplane,1,2,2_21
1209,21,2,0.696,22,Match,sky,airplane,1,2,2_22
1210,22,2,0.783,23,Match,sky,airplane,1,2,2_23
1211,23,2,0.701,24,Match,sky,airplane,1,2,2_24
1212,24,2,1.434,25,Match,sky,airplane,1,2,2_25
1213,25,2,0.576,26,Match,sky,airplane,1,2,2_26
1214,26,2,1.778,27,Match,sky,airplane,1,2,2_27
1215,27,2,2.15,28,Match,sky,airplane,1,2,2_28
1216,28,2,1.505,29,Match,sky,airplane,1,2,2_29
1217,29,2,1.005,30,Match,sky,airplane,1,2,2_30
1218,30,2,0.795,31,Match,sky,airplane,1,2,2_31
1219,31,2,0.861,32,Match,sky,airplane,1,2,2_32
1220,32,2,1.102,33,Match,sky,airplane,1,2,2_33
1221,33,2,1.553,34,Match,sky,airplane,1,2,2_34
1222,34,2,0.958,35,Match,sky,airplane,1,2,2_35
1223,35,2,0.846,36,Match,sky,airplane,1,2,2_36
1224,36,2,1.279,37,Match,sky,airplane,1,2,2_37
1225,37,2,0.8,38,Match,sky,airplane,1,2,2_38
1226,38,2,0.571,39,Match,sky,airplane,1,2,2_39
1227,39,2,0.512,40,Match,sky,airplane,1,2,2_40
1228,40,2,1.3,41,Match,sky,airplane,1,2,2_41
1229,41,2,0.942,42,Match,sky,airplane,1,2,2_42
1230,42,2,1.805,43,Match,sky,airplane,1,2,2_43
1231,43,2,1.537,44,Match,sky,airplane,1,2,2_44
1232,0,2,2.663,1,Match,slice,apple,1,2,2_1
1233,1,2,0.764,2,Match,slice,apple,1,2,2_2
1234,2,2,1.231,3,Match,slice,apple,1,2,2_3
1235,3,2,2.011,4,Match,slice,apple,1,2,2_4
1236,4,2,1.592,5,Match,slice,apple,1,2,2_5
1237,5,2,1.359,6,Match,slice,apple,1,2,2_6
1238,6,2,0.826,7,Match,slice,apple,1,2,2_7
1239,7,2,2.02,8,Match,slice,apple,1,2,2_8
1240,8,2,0.647,9,Match,slice,apple,1,2,2_9
1241,9,2,0.778,10,Match,slice,apple,1,2,2_10
1242,10,2,1.173,11,Match,slice,apple,1,2,2_11
1243,11,2,1.169,12,Match,slice,apple,1,2,2_12
1244,12,2,1.242,13,Match,slice,apple,1,2,2_13
1245,13,2,1.28,14,Match,slice,apple,1,2,2_14
1246,14,2,0.869,15,Match,slice,apple,1,2,2_15
1247,15,2,1.082,16,Match,slice,apple,1,2,2_16
1248,16,2,1.183,17,Match,slice,apple,1,2,2_17
1249,17,2,0.971,18,Match,slice,apple,1,2,2_18
1250,18,2,0.922,19,Match,slice,apple,1,2,2_19
1251,19,2,2.025,20,Match,slice,apple,1,2,2_20
1252,20,2,1.317,21,Match,slice,apple,1,2,2_21
1253,21,2,0.956,22,Match,slice,apple,1,2,2_22
1254,22,2,0.699,23,Match,slice,apple,1,2,2_23
1255,23,2,0.655,24,Match,slice,apple,1,2,2_24
1256,24,2,1.094,25,Match,slice,apple,1,2,2_25
1257,25,2,1.439,26,Match,slice,apple,1,2,2_26
1258,26,2,2.983,27,Match,slice,apple,1,2,2_27
1259,27,2,1.267,28,Match,slice,apple,1,2,2_28
1260,28,2,2.654,29,Match,slice,apple,1,2,2_29
1261,29,2,3.295,30,Match,slice,apple,1,2,2_30
1262,30,2,1.077,31,Match,slice,apple,1,2,2_31
1263,31,2,1.683,32,Match,slice,apple,1,2,2_32
1264,32,2,0.866,33,Match,slice,apple,1,2,2_33
1265,33,1, ,34,Match,slice,apple,0,2,2_34
1266,34,2,0.845,35,Match,slice,apple,1,2,2_35
1267,35,2,1.777,36,Match,slice,apple,1,2,2_36
1268,36,2,1.718,37,Match,slice,apple,1,2,2_37
1269,37,2,1.329,38,Match,slice,apple,1,2,2_38
1270,38,2,0.817,39,Match,slice,apple,1,2,2_39
1271,39,2,1.145,40,Match,slice,apple,1,2,2_40
1272,40,2,1.169,41,Match,slice,apple,1,2,2_41
1273,41,2,0.955,42,Match,slice,apple,1,2,2_42
1274,42,2,1.515,43,Match,slice,apple,1,2,2_43
1275,43,2,1.289,44,Match,slice,apple,1,2,2_44
1276,0,2,1.105,1,Match,slice,bread,1,2,2_1
1277,1,2,0.989,2,Match,slice,bread,1,2,2_2
1278,2,2,1.017,3,Match,slice,bread,1,2,2_3
1279,3,2,2.187,4,Match,slice,bread,1,2,2_4
1280,4,2,0.832,5,Match,slice,bread,1,2,2_5
1281,5,2,0.604,6,Match,slice,bread,1,2,2_6
1282,6,2,1.195,7,Match,slice,bread,1,2,2_7
1283,7,2,0.769,8,Match,slice,bread,1,2,2_8
1284,8,2,0.631,9,Match,slice,bread,1,2,2_9
1285,9,2,0.48,10,Match,slice,bread,1,2,2_10
1286,10,2,1.35,11,Match,slice,bread,1,2,2_11
1287,11,2,1.181,12,Match,slice,bread,1,2,2_12
1288,12,2,1.364,13,Match,slice,bread,1,2,2_13
1289,13,2,1.198,14,Match,slice,bread,1,2,2_14
1290,14,2,0.936,15,Match,slice,bread,1,2,2_15
1291,15,2,0.547,16,Match,slice,bread,1,2,2_16
1292,16,2,1.624,17,Match,slice,bread,1,2,2_17
1293,17,2,0.629,18,Match,slice,bread,1,2,2_18
1294,18,2,0.791,19,Match,slice,bread,1,2,2_19
1295,19,2,1.624,20,Match,slice,bread,1,2,2_20
1296,20,2,1.745,21,Match,slice,bread,1,2,2_21
1297,21,2,0.826,22,Match,slice,bread,1,2,2_22
1298,22,2,0.69,23,Match,slice,bread,1,2,2_23
1299,23,2,0.546,24,Match,slice,bread,1,2,2_24
1300,24,2,1.048,25,Match,slice,bread,1,2,2_25
1301,25,2,1.038,26,Match,slice,bread,1,2,2_26
1302,26,2,1.492,27,Match,slice,bread,1,2,2_27
1303,27,2,1.384,28,Match,slice,bread,1,2,2_28
1304,28,2,1.568,29,Match,slice,bread,1,2,2_29
1305,29,2,0.7,30,Match,slice,bread,1,2,2_30
1306,30,2,0.593,31,Match,slice,bread,1,2,2_31
1307,31,2,1.964,32,Match,slice,bread,1,2,2_32
1308,32,2,0.758,33,Match,slice,bread,1,2,2_33
1309,33,2,1.257,34,Match,slice,bread,1,2,2_34
1310,34,2,0.9,35,Match,slice,bread,1,2,2_35
1311,35,2,0.623,36,Match,slice,bread,1,2,2_36
1312,36,2,1.392,37,Match,slice,bread,1,2,2_37
1313,37,2,0.712,38,Match,slice,bread,1,2,2_38
1314,38,2,0.67,39,Match,slice,bread,1,2,2_39
1315,39,2,0.805,40,Match,slice,bread,1,2,2_40
1316,40,2,1.041,41,Match,slice,bread,1,2,2_41
1317,41,2,0.919,42,Match,slice,bread,1,2,2_42
1318,42,2,2.407,43,Match,slice,bread,1,2,2_43
1319,43,2,0.911,44,Match,slice,bread,1,2,2_44
1320,0,2,1.961,1,Match,slice,cheese,1,2,2_1
1321,1,2,1.222,2,Match,slice,cheese,1,2,2_2
1322,2,2,1.011,3,Match,slice,cheese,1,2,2_3
1323,3,2,2.299,4,Match,slice,cheese,1,2,2_4
1324,4,2,0.955,5,Match,slice,cheese,1,2,2_5
1325,5,2,0.57,6,Match,slice,cheese,1,2,2_6
1326,6,2,1.944,7,Match,slice,cheese,1,2,2_7
1327,7,2,1.266,8,Match,slice,cheese,1,2,2_8
1328,8,2,0.62,9,Match,slice,cheese,1,2,2_9
1329,9,2,0.488,10,Match,slice,cheese,1,2,2_10
1330,10,2,1.676,11,Match,slice,cheese,1,2,2_11
1331,11,2,1.162,12,Match,slice,cheese,1,2,2_12
1332,12,2,0.753,13,Match,slice,cheese,1,2,2_13
1333,13,2,1.015,14,Match,slice,cheese,1,2,2_14
1334,14,2,3.357,15,Match,slice,cheese,1,2,2_15
1335,15,2,0.849,16,Match,slice,cheese,1,2,2_16
1336,16,2,1.169,17,Match,slice,cheese,1,2,2_17
1337,17,2,2.129,18,Match,slice,cheese,1,2,2_18
1338,18,2,1.397,19,Match,slice,cheese,1,2,2_19
1339,19,2,2.177,20,Match,slice,cheese,1,2,2_20
1340,20,2,1.039,21,Match,slice,cheese,1,2,2_21
1341,21,2,0.856,22,Match,slice,cheese,1,2,2_22
1342,22,2,0.667,23,Match,slice,cheese,1,2,2_23
1343,23,2,0.581,24,Match,slice,cheese,1,2,2_24
1344,24,2,1.616,25,Match,slice,cheese,1,2,2_25
1345,25,2,1.015,26,Match,slice,cheese,1,2,2_26
1346,26,2,1.597,27,Match,slice,cheese,1,2,2_27
1347,27,2,2.143,28,Match,slice,cheese,1,2,2_28
1348,28,2,1.667,29,Match,slice,cheese,1,2,2_29
1349,29,2,1.227,30,Match,slice,cheese,1,2,2_30
1350,30,2,0.733,31,Match,slice,cheese,1,2,2_31
1351,31,2,0.88,32,Match,slice,cheese,1,2,2_32
1352,32,2,1.214,33,Match,slice,cheese,1,2,2_33
1353,33,1, ,34,Match,slice,cheese,0,2,2_34
1354,34,2,0.765,35,Match,slice,cheese,1,2,2_35
1355,35,2,1.264,36,Match,slice,cheese,1,2,2_36
1356,36,2,1.39,37,Match,slice,cheese,1,2,2_37
1357,37,2,1.376,38,Match,slice,cheese,1,2,2_38
1358,38,2,1.22,39,Match,slice,cheese,1,2,2_39
1359,39,2,0.739,40,Match,slice,cheese,1,2,2_40
1360,40,2,1.565,41,Match,slice,cheese,1,2,2_41
1361,41,2,1.177,42,Match,slice,cheese,1,2,2_42
1362,42,2,2.086,43,Match,slice,cheese,1,2,2_43
1363,43,2,2.066,44,Match,slice,cheese,1,2,2_44
1364,0,2,1.243,1,Match,alive,chicken,1,2,2_1
1365,1,2,1.268,2,Match,alive,chicken,1,2,2_2
1366,2,2,0.597,3,Match,alive,chicken,1,2,2_3
1367,3,2,1.839,4,Match,alive,chicken,1,2,2_4
1368,4,2,0.979,5,Match,alive,chicken,1,2,2_5
1369,5,2,0.548,6,Match,alive,chicken,1,2,2_6
1370,6,2,1.267,7,Match,alive,chicken,1,2,2_7
1371,7,2,0.618,8,Match,alive,chicken,1,2,2_8
1372,8,2,0.692,9,Match,alive,chicken,1,2,2_9
1373,9,2,0.655,10,Match,alive,chicken,1,2,2_10
1374,10,2,1.041,11,Match,alive,chicken,1,2,2_11
1375,11,2,0.681,12,Match,alive,chicken,1,2,2_12
1376,12,2,0.584,13,Match,alive,chicken,1,2,2_13
1377,13,2,0.441,14,Match,alive,chicken,1,2,2_14
1378,14,2,0.656,15,Match,alive,chicken,1,2,2_15
1379,15,2,1.145,16,Match,alive,chicken,1,2,2_16
1380,16,2,1.052,17,Match,alive,chicken,1,2,2_17
1381,17,2,0.767,18,Match,alive,chicken,1,2,2_18
1382,18,2,0.869,19,Match,alive,chicken,1,2,2_19
1383,19,2,2.273,20,Match,alive,chicken,1,2,2_20
1384,20,2,0.794,21,Match,alive,chicken,1,2,2_21
1385,21,2,0.775,22,Match,alive,chicken,1,2,2_22
1386,22,2,0.625,23,Match,alive,chicken,1,2,2_23
1387,23,2,0.359,24,Match,alive,chicken,1,2,2_24
1388,24,2,0.786,25,Match,alive,chicken,1,2,2_25
1389,25,2,0.914,26,Match,alive,chicken,1,2,2_26
1390,26,2,1.447,27,Match,alive,chicken,1,2,2_27
1391,27,2,1.495,28,Match,alive,chicken,1,2,2_28
1392,28,2,1.397,29,Match,alive,chicken,1,2,2_29
1393,29,2,1.032,30,Match,alive,chicken,1,2,2_30
1394,30,2,0.515,31,Match,alive,chicken,1,2,2_31
1395,31,2,0.776,32,Match,alive,chicken,1,2,2_32
1396,32,2,0.939,33,Match,alive,chicken,1,2,2_33
1397,33,2,1.996,34,Match,alive,chicken,1,2,2_34
1398,34,2,0.819,35,Match,alive,chicken,1,2,2_35
1399,35,2,0.869,36,Match,alive,chicken,1,2,2_36
1400,36,2,1.178,37,Match,alive,chicken,1,2,2_37
1401,37,2,0.681,38,Match,alive,chicken,1,2,2_38
1402,38,2,1.057,39,Match,alive,chicken,1,2,2_39
1403,39,2,0.667,40,Match,alive,chicken,1,2,2_40
1404,40,2,1.967,41,Match,alive,chicken,1,2,2_41
1405,41,2,1.338,42,Match,alive,chicken,1,2,2_42
1406,42,2,1.249,43,Match,alive,chicken,1,2,2_43
1407,43,2,1.39,44,Match,alive,chicken,1,2,2_44
1408,0,2,1.224,1,Match,butt,cig,1,2,2_1
1409,1,2,1.05,2,Match,butt,cig,1,2,2_2
1410,2,2,1.333,3,Match,butt,cig,1,2,2_3
1411,3,2,3.348,4,Match,butt,cig,1,2,2_4
1412,4,2,1.45,5,Match,butt,cig,1,2,2_5
1413,5,2,0.796,6,Match,butt,cig,1,2,2_6
1414,6,1, ,7,Match,butt,cig,0,2,2_7
1415,7,2,1.12,8,Match,butt,cig,1,2,2_8
1416,8,1, ,9,Match,butt,cig,0,2,2_9
1417,9,2,0.846,10,Match,butt,cig,1,2,2_10
1418,10,2,1.688,11,Match,butt,cig,1,2,2_11
1419,11,2,1.407,12,Match,butt,cig,1,2,2_12
1420,12,2,1.042,13,Match,butt,cig,1,2,2_13
1421,13,2,1.358,14,Match,butt,cig,1,2,2_14
1422,14,2,3.414,15,Match,butt,cig,1,2,2_15
1423,15,2,1.021,16,Match,butt,cig,1,2,2_16
1424,16,2,1.715,17,Match,butt,cig,1,2,2_17
1425,17,2,1.342,18,Match,butt,cig,1,2,2_18
1426,18,2,4.172,19,Match,butt,cig,1,2,2_19
1427,19,2,2.236,20,Match,butt,cig,1,2,2_20
1428,20,2,1.679,21,Match,butt,cig,1,2,2_21
1429,21,2,1.315,22,Match,butt,cig,1,2,2_22
1430,22,2,0.746,23,Match,butt,cig,1,2,2_23
1431,23,2,1.279,24,Match,butt,cig,1,2,2_24
1432,24,2,0.973,25,Match,butt,cig,1,2,2_25
1433,25,2,1.483,26,Match,butt,cig,1,2,2_26
1434,26,2,3.276,27,Match,butt,cig,1,2,2_27
1435,27,2,1.648,28,Match,butt,cig,1,2,2_28
1436,28,2,1.763,29,Match,butt,cig,1,2,2_29
1437,29,2,1.952,30,Match,butt,cig,1,2,2_30
1438,30,2,0.936,31,Match,butt,cig,1,2,2_31
1439,31,2,2.409,32,Match,butt,cig,1,2,2_32
1440,32,2,2.184,33,Match,butt,cig,1,2,2_33
1441,33,2,4.584,34,Match,butt,cig,1,2,2_34
1442,34,2,1.264,35,Match,butt,cig,1,2,2_35
1443,35,2,1.293,36,Match,butt,cig,1,2,2_36
1444,36,2,2.508,37,Match,butt,cig,1,2,2_37
1445,37,2,0.97,38,Match,butt,cig,1,2,2_38
1446,38,2,0.853,39,Match,butt,cig,1,2,2_39
1447,39,2,1.463,40,Match,butt,cig,1,2,2_40
1448,40,2,1.841,41,Match,butt,cig,1,2,2_41
1449,41,2,1.584,42,Match,butt,cig,1,2,2_42
1450,42,2,1.525,43,Match,butt,cig,1,2,2_43
1451,43,2,2.02,44,Match,butt,cig,1,2,2_44
1452,0,2,1.585,1,Match,fillet,fish,1,2,2_1
1453,1,2,1.296,2,Match,fillet,fish,1,2,2_2
1454,2,2,1.134,3,Match,fillet,fish,1,2,2_3
1455,3,2,3.425,4,Match,fillet,fish,1,2,2_4
1456,4,2,0.902,5,Match,fillet,fish,1,2,2_5
1457,5,2,2.002,6,Match,fillet,fish,1,2,2_6
1458,6,2,1.327,7,Match,fillet,fish,1,2,2_7
1459,7,2,1.048,8,Match,fillet,fish,1,2,2_8
1460,8,1, ,9,Match,fillet,fish,0,2,2_9
1461,9,2,1.663,10,Match,fillet,fish,1,2,2_10
1462,10,2,1.716,11,Match,fillet,fish,1,2,2_11
1463,11,2,1.121,12,Match,fillet,fish,1,2,2_12
1464,12,2,0.916,13,Match,fillet,fish,1,2,2_13
1465,13,2,1.37,14,Match,fillet,fish,1,2,2_14
1466,14,2,1.627,15,Match,fillet,fish,1,2,2_15
1467,15,2,0.775,16,Match,fillet,fish,1,2,2_16
1468,16,2,0.946,17,Match,fillet,fish,1,2,2_17
1469,17,2,1.386,18,Match,fillet,fish,1,2,2_18
1470,18,2,1.367,19,Match,fillet,fish,1,2,2_19
1471,19,2,2.18,20,Match,fillet,fish,1,2,2_20
1472,20,2,1.04,21,Match,fillet,fish,1,2,2_21
1473,21,2,3.202,22,Match,fillet,fish,1,2,2_22
1474,22,2,1.149,23,Match,fillet,fish,1,2,2_23
1475,23,1, ,24,Match,fillet,fish,0,2,2_24
1476,24,2,1.846,25,Match,fillet,fish,1,2,2_25
1477,25,2,1.245,26,Match,fillet,fish,1,2,2_26
1478,26,2,2.879,27,Match,fillet,fish,1,2,2_27
1479,27,2,3.058,28,Match,fillet,fish,1,2,2_28
1480,28,2,1.751,29,Match,fillet,fish,1,2,2_29
1481,29,2,0.992,30,Match,fillet,fish,1,2,2_30
1482,30,2,0.749,31,Match,fillet,fish,1,2,2_31
1483,31,2,1.279,32,Match,fillet,fish,1,2,2_32
1484,32,2,0.685,33,Match,fillet,fish,1,2,2_33
1485,33,2,1.467,34,Match,fillet,fish,1,2,2_34
1486,34,2,0.767,35,Match,fillet,fish,1,2,2_35
1487,35,2,1.718,36,Match,fillet,fish,1,2,2_36
1488,36,2,1.469,37,Match,fillet,fish,1,2,2_37
1489,37,2,1.047,38,Match,fillet,fish,1,2,2_38
1490,38,2,0.911,39,Match,fillet,fish,1,2,2_39
1491,39,2,1.363,40,Match,fillet,fish,1,2,2_40
1492,40,2,1.62,41,Match,fillet,fish,1,2,2_41
1493,41,2,1.444,42,Match,fillet,fish,1,2,2_42
1494,42,2,5.603,43,Match,fillet,fish,1,2,2_43
1495,43,1, ,44,Match,fillet,fish,0,2,2_44
1496,0,2,1.115,1,Match,sitting,hockey,1,2,2_1
1497,1,2,1.619,2,Match,sitting,hockey,1,2,2_2
1498,2,2,0.879,3,Match,sitting,hockey,1,2,2_3
1499,3,2,2.419,4,Match,sitting,hockey,1,2,2_4
1500,4,2,0.978,5,Match,sitting,hockey,1,2,2_5
1501,5,2,0.88,6,Match,sitting,hockey,1,2,2_6
1502,6,2,1.564,7,Match,sitting,hockey,1,2,2_7
1503,7,2,1.379,8,Match,sitting,hockey,1,2,2_8
1504,8,2,0.621,9,Match,sitting,hockey,1,2,2_9
1505,9,2,0.57,10,Match,sitting,hockey,1,2,2_10
1506,10,2,1.101,11,Match,sitting,hockey,1,2,2_11
1507,11,2,1.935,12,Match,sitting,hockey,1,2,2_12
1508,12,2,0.615,13,Match,sitting,hockey,1,2,2_13
1509,13,2,0.815,14,Match,sitting,hockey,1,2,2_14
1510,14,2,1.159,15,Match,sitting,hockey,1,2,2_15
