,index,response,rt,ppt_idx,match,condition_a,object,accuracy,list,ppt_id
78,34,2,1.111,35,Match,hanging,bat,1,1,1_35
79,35,2,1.336,36,Match,hanging,bat,1,1,1_36
80,36,2,1.389,37,Match,hanging,bat,1,1,1_37
81,37,2,2.774,38,Match,hanging,bat,1,1,1_38
82,38,2,0.962,39,Match,hanging,bat,1,1,1_39
83,39,2,1.388,40,Match,hanging,bat,1,1,1_40
84,40,1, ,41,Match,hanging,bat,0,1,1_41
85,41,2,0.668,42,Match,hanging,bat,1,1,1_42
86,42,2,0.805,43,Match,hanging,bat,1,1,1_43
87,43,2,2.907,44,Match,hanging,bat,1,1,1_44
88,0,2,0.713,1,Match,closed,book,1,1,1_1
89,1,2,1.332,2,Match,closed,book,1,1,1_2
90,2,1, ,3,Match,closed,book,0,1,1_3
91,3,2,0.526,4,Match,closed,book,1,1,1_4
92,4,2,0.641,5,Match,closed,book,1,1,1_5
93,5,2,0.655,6,Match,closed,book,1,1,1_6
94,6,2,0.634,7,Match,closed,book,1,1,1_7
95,7,2,0.582,8,Match,closed,book,1,1,1_8
96,8,2,1.154,9,Match,closed,book,1,1,1_9
97,9,2,0.843,10,Match,closed,book,1,1,1_10
98,10,2,0.644,11,Match,closed,book,1,1,1_11
99,11,2,0.77,12,Match,closed,book,1,1,1_12
100,12,2,0.708,13,Match,closed,book,1,1,1_13
101,13,2,0.629,14,Match,closed,book,1,1,1_14
102,14,2,1.126,15,Match,closed,book,1,1,1_15
103,15,2,1.453,16,Match,closed,book,1,1,1_16
104,16,2,0.568,17,Match,closed,book,1,1,1_17
105,17,2,0.829,18,Match,closed,book,1,1,1_18
106,18,2,0.546,19,Match,closed,book,1,1,1_19
107,19,2,1.716,20,Match,closed,book,1,1,1_20
108,20,2,1.689,21,Match,closed,book,1,1,1_21
109,21,2,16.591,22,Match,closed,book,1,1,1_22
110,22,2,1.154,23,Match,closed,book,1,1,1_23
111,23,2,0.761,24,Match,closed,book,1,1,1_24
112,24,2,0.938,25,Match,closed,book,1,1,1_25
113,25,2,1.424,26,Match,closed,book,1,1,1_26
114,26,2,1.645,27,Match,closed,book,1,1,1_27
115,27,2,0.551,28,Match,closed,book,1,1,1_28
116,28,2,1.514,29,Match,closed,book,1,1,1_29
117,29,2,1.115,30,Match,closed,book,1,1,1_30
118,30,2,0.745,31,Match,closed,book,1,1,1_31
119,31,2,0.922,32,Match,closed,book,1,1,1_32
120,32,2,0.987,33,Match,closed,book,1,1,1_33
121,33,2,1.859,34,Match,closed,book,1,1,1_34
122,34,2,1.056,35,Match,closed,book,1,1,1_35
123,35,2,1.302,36,Match,closed,book,1,1,1_36
124,36,2,2.071,37,Match,closed,book,1,1,1_37
125,37,2,0.577,38,Match,closed,book,1,1,1_38
126,38,2,1.218,39,Match,closed,book,1,1,1_39
127,39,2,1.584,40,Match,closed,book,1,1,1_40
128,40,2,0.48,41,Match,closed,book,1,1,1_41
129,41,2,0.834,42,Match,closed,book,1,1,1_42
130,42,2,0.512,43,Match,closed,book,1,1,1_43
131,43,2,3.303,44,Match,closed,book,1,1,1_44
132,0,2,1.007,1,Match,ground,airplane,1,1,1_1
133,1,2,1.621,2,Match,ground,airplane,1,1,1_2
134,2,2,0.965,3,Match,ground,airplane,1,1,1_3
135,3,2,0.862,4,Match,ground,airplane,1,1,1_4
136,4,2,0.532,5,Match,ground,airplane,1,1,1_5
137,5,2,0.739,6,Match,ground,airplane,1,1,1_6
138,6,2,0.704,7,Match,ground,airplane,1,1,1_7
139,7,2,0.806,8,Match,ground,airplane,1,1,1_8
140,8,2,1.139,9,Match,ground,airplane,1,1,1_9
141,9,2,0.86,10,Match,ground,airplane,1,1,1_10
142,10,2,0.663,11,Match,ground,airplane,1,1,1_11
143,11,2,0.617,12,Match,ground,airplane,1,1,1_12
144,12,2,0.713,13,Match,ground,airplane,1,1,1_13
145,13,2,0.821,14,Match,ground,airplane,1,1,1_14
146,14,2,3.142,15,Match,ground,airplane,1,1,1_15
147,15,2,1.355,16,Match,ground,airplane,1,1,1_16
148,16,2,0.446,17,Match,ground,airplane,1,1,1_17
149,17,2,1.392,18,Match,ground,airplane,1,1,1_18
150,18,2,0.926,19,Match,ground,airplane,1,1,1_19
151,19,1, ,20,Match,ground,airplane,0,1,1_20
152,20,2,8.454,21,Match,ground,airplane,1,1,1_21
153,21,2,3.556,22,Match,ground,airplane,1,1,1_22
154,22,2,1.338,23,Match,ground,airplane,1,1,1_23
155,23,2,0.696,24,Match,ground,airplane,1,1,1_24
156,24,2,0.966,25,Match,ground,airplane,1,1,1_25
157,25,2,0.822,26,Match,ground,airplane,1,1,1_26
158,26,2,2.041,27,Match,ground,airplane,1,1,1_27
159,27,2,0.409,28,Match,ground,airplane,1,1,1_28
160,28,2,0.65,29,Match,ground,airplane,1,1,1_29
161,29,2,0.48,30,Match,ground,airplane,1,1,1_30
162,30,2,0.943,31,Match,ground,airplane,1,1,1_31
163,31,2,1.5,32,Match,ground,airplane,1,1,1_32
164,32,2,0.844,33,Match,ground,airplane,1,1,1_33
165,33,2,3.313,34,Match,ground,airplane,1,1,1_34
166,34,2,1.338,35,Match,ground,airplane,1,1,1_35
167,35,2,0.748,36,Match,ground,airplane,1,1,1_36
168,36,2,0.87,37,Match,ground,airplane,1,1,1_37
169,37,2,1.417,38,Match,ground,airplane,1,1,1_38
170,38,2,0.502,39,Match,ground,airplane,1,1,1_39
171,39,2,1.421,40,Match,ground,airplane,1,1,1_40
172,40,2,0.597,41,Match,ground,airplane,1,1,1_41
173,41,2,0.816,42,Match,ground,airplane,1,1,1_42
174,42,2,0.671,43,Match,ground,airplane,1,1,1_43
175,43,2,1.443,44,Match,ground,airplane,1,1,1_44
176,0,2,0.745,1,Match,whole,apple,1,1,1_1
177,1,2,0.525,2,Match,whole,apple,1,1,1_2
178,2,2,1.197,3,Match,whole,apple,1,1,1_3
179,3,2,0.709,4,Match,whole,apple,1,1,1_4
180,4,2,0.594,5,Match,whole,apple,1,1,1_5
181,5,2,0.723,6,Match,whole,apple,1,1,1_6
182,6,2,1.252,7,Match,whole,apple,1,1,1_7
183,7,2,1.316,8,Match,whole,apple,1,1,1_8
184,8,2,1.124,9,Match,whole,apple,1,1,1_9
185,9,2,1.221,10,Match,whole,apple,1,1,1_10
186,10,2,0.547,11,Match,whole,apple,1,1,1_11
187,11,2,0.58,12,Match,whole,apple,1,1,1_12
188,12,2,0.756,13,Match,whole,apple,1,1,1_13
189,13,2,0.824,14,Match,whole,apple,1,1,1_14
190,14,2,0.831,15,Match,whole,apple,1,1,1_15
191,15,2,1,16,Match,whole,apple,1,1,1_16
192,16,2,0.682,17,Match,whole,apple,1,1,1_17
193,17,2,0.52,18,Match,whole,apple,1,1,1_18
194,18,2,0.924,19,Match,whole,apple,1,1,1_19
195,19,2,1.473,20,Match,whole,apple,1,1,1_20
196,20,2,3.963,21,Match,whole,apple,1,1,1_21
197,21,2,3.552,22,Match,whole,apple,1,1,1_22
198,22,2,2.323,23,Match,whole,apple,1,1,1_23
