,sentence,match,probability,model,dataset
0,a,match,0.2168999935088246,ViT-L-14-336,pecher2006
1,a,match,0.20226105172027908,ViT-L-14-336,pecher2006
2,a,match,0.20406186470558685,ViT-L-14-336,pecher2006
3,a,match,0.23641771619889118,ViT-L-14-336,pecher2006
4,a,match,0.228379238575648,ViT-L-14-336,pecher2006
5,a,match,0.22873742450973777,ViT-L-14-336,pecher2006
6,a,match,0.165868546415057,ViT-L-14-336,pecher2006
7,a,match,0.12621327875192268,ViT-L-14-336,pecher2006
8,a,match,0.22518543394902935,ViT-L-14-336,pecher2006
9,a,match,0.2223940682459905,ViT-L-14-336,pecher2006
10,a,match,0.21979760755751587,ViT-L-14-336,pecher2006
11,a,match,0.22436595832794948,ViT-L-14-336,pecher2006
12,a,match,0.1672861998699784,ViT-L-14-336,pecher2006
13,a,match,0.2408457559155751,ViT-L-14-336,pecher2006
14,a,match,0.20312398597694759,ViT-L-14-336,pecher2006
15,a,match,0.25967485584290495,ViT-L-14-336,pecher2006
16,a,match,0.1946083686836333,ViT-L-14-336,pecher2006
17,a,match,0.21317839118590198,ViT-L-14-336,pecher2006
18,a,match,0.1758935431770321,ViT-L-14-336,pecher2006
19,a,match,0.2201542670550085,ViT-L-14-336,pecher2006
20,a,match,0.2140798718169188,ViT-L-14-336,pecher2006
21,a,match,0.211502072363994,ViT-L-14-336,pecher2006
22,a,match,0.21071458546972954,ViT-L-14-336,pecher2006
23,a,match,0.23238645148112114,ViT-L-14-336,pecher2006
24,a,match,0.17567511252022316,ViT-L-14-336,pecher2006
25,a,match,0.17371592678729952,ViT-L-14-336,pecher2006
26,a,match,0.20936926322789096,ViT-L-14-336,pecher2006
27,a,match,0.21380840137603752,ViT-L-14-336,pecher2006
28,a,match,0.22687880810262084,ViT-L-14-336,pecher2006
29,a,match,0.22171584375408682,ViT-L-14-336,pecher2006
30,a,match,0.23837022533920282,ViT-L-14-336,pecher2006
31,a,match,0.20593466575783148,ViT-L-14-336,pecher2006
32,a,match,0.14373598145768463,ViT-L-14-336,pecher2006
