,sentence,match,probability,model,dataset
0,a,match,0.9882748126983643,clip,pecher2006
1,a,match,0.25254136323928833,clip,pecher2006
2,a,match,0.27738770842552185,clip,pecher2006
3,a,match,0.3684282898902893,clip,pecher2006
4,a,match,0.061305392533540726,clip,pecher2006
5,a,match,0.9996541738510132,clip,pecher2006
6,a,match,0.00867986585944891,clip,pecher2006
7,a,match,0.10748925805091858,clip,pecher2006
8,a,match,0.9571853876113892,clip,pecher2006
9,a,match,0.6710349321365356,clip,pecher2006
10,a,match,0.9789263606071472,clip,pecher2006
11,a,match,0.993083119392395,clip,pecher2006
12,a,match,0.5272608995437622,clip,pecher2006
13,a,match,0.7267677783966064,clip,pecher2006
14,a,match,0.6594222784042358,clip,pecher2006
15,a,match,0.04160471260547638,clip,pecher2006
16,a,match,0.04827486351132393,clip,pecher2006
17,a,match,0.9024549126625061,clip,pecher2006
18,a,match,0.4427230954170227,clip,pecher2006
19,a,match,0.9772366285324097,clip,pecher2006
20,a,match,0.9932964444160461,clip,pecher2006
21,a,match,0.8646157383918762,clip,pecher2006
22,a,match,0.04341346025466919,clip,pecher2006
23,a,match,0.9962232112884521,clip,pecher2006
24,a,match,0.00595474848523736,clip,pecher2006
25,a,match,0.011481903493404388,clip,pecher2006
26,a,match,0.06950559467077255,clip,pecher2006
27,a,match,0.035269107669591904,clip,pecher2006
28,a,match,0.6320725679397583,clip,pecher2006
29,a,match,0.9961110949516296,clip,pecher2006
30,a,match,0.6912214159965515,clip,pecher2006
31,a,match,0.9998917579650879,clip,pecher2006
32,a,match,0.3057301342487335,clip,pecher2006
33,a,match,0.9834368228912354,clip,pecher2006
34,a,match,0.7324755787849426,clip,pecher2006
35,a,match,0.992408037185669,clip,pecher2006
36,a,match,0.5231106281280518,clip,pecher2006
37,a,match,0.8681215047836304,clip,pecher2006
38,a,match,0.00116531562525779,clip,pecher2006
39,a,match,0.44708919525146484,clip,pecher2006
40,a,match,0.9947006702423096,clip,pecher2006
41,a,match,0.9933947920799255,clip,pecher2006
42,a,match,0.9950374960899353,clip,pecher2006
43,a,match,0.9999995231628418,clip,pecher2006
44,a,match,0.0024125436320900917,clip,pecher2006
45,a,match,0.999187171459198,clip,pecher2006
46,a,match,0.9889945387840271,clip,pecher2006
47,a,match,0.8021620512008667,clip,pecher2006
48,a,match,0.015027729794383049,clip,pecher2006
49,a,match,0.9988791346549988,clip,pecher2006
